,Region,"Population(000, 2019)","Pop. density(per km2, 2019)",Capital city,"Capital city pop.(000, 2019)",UN membership date,Surface area(km2),Sex ratio(m per 100 f),National currency,Exchange rate(per US$)
India,Southern Asia,1366418,459.6,New Delhi,29399.1,30-Oct-45,3287263,108.2,Indian Rupee (INR),69.8
Indonesia,South-eastern Asia,270626,149.4,Jakarta,10638.7,28-Sep-50,1910931,101.4,Rupiah (IDR),14481.0
Iran (Islamic Republic of),Southern Asia,82914,50.9,Tehran,9013.7,24-Oct-45,1628750,102.1,Iranian Rial (IRR),42000.0
Iraq,Western Asia,39310,90.5,Baghdad,6974.4,21-Dec-45,435052,102.4,Iraqi Dinar (IQD),1182.0
Ireland,Northern Europe,4882,70.9,Dublin,1214.7,14-Dec-55,69797,98.5,Euro (EUR),0.9
Isle of Man,Northern Europe,85,148.4,Douglas,27.2,,572,98.2,Pound Sterling (GBP),0.8
Israel,Western Asia,8519,393.7,Jerusalem,919.4,11-May-49,22072,99,New Israeli Sheqel (ILS),3.7
Italy,Southern Europe,60550,205.9,Rome,4234.0,14-Dec-55,302073,94.8,Euro (EUR),0.9
Jamaica,Caribbean,2948,272.2,Kingston,589.8,18-Sep-62,10990,98.6,Jamaican Dollar (JMD),126.8
Japan,Eastern Asia,126860,348,Tokyo,37435.2,18-Dec-56,377930,95.4,Yen (JPY),110.8
Jordan,Western Asia,10102,113.8,Amman,2108.5,14-Dec-55,89318,102.5,Jordanian Dinar (JOD),0.7
Kazakhstan,Central Asia,18551,6.9,Nur-Sultan,1117.6,2-Mar-92,2724902,94.2,Tenge (KZT),384.2
Kenya,Eastern Africa,52574,92.4,Nairobi,4556.4,16-Dec-63,591958,98.8,Kenyan Shilling (KES),101.8
Kiribati,Micronesia,118,145.2,Bairiki,3.2,14-Sep-99,726,96.7,Australian Dollar (AUD),1.4
Kuwait,Western Asia,4207,236.1,Kuwait City,3052.5,14-May-63,17818,155.9,Kuwaiti Dinar (KWD),0.3
Kyrgyzstan,Central Asia,6416,33.5,Bishkek,1017.2,2-Mar-92,199949,97.9,Som (KGS),69.8
Lao People's Dem. Rep.,South-eastern Asia,7170,31.1,Vientiane,673.1,14-Dec-55,236800,100.8,Lao Kip (LAK),8596.2
Latvia,Northern Europe,1907,30.7,Riga,633.8,17-Sep-91,64573,85.3,Euro (EUR),0.9
Lebanon,Western Asia,6856,670.2,Beirut,2406.9,24-Oct-45,10452,101.3,Lebanese Pound (LBP),1507.5
Lesotho,Southern Africa,2125,70,Maseru,201.9,17-Oct-66,30355,97.3,Loti (LSL),14.4
Liberia,Western Africa,4937,51.3,Monrovia,1467.0,2-Nov-45,111369,101,Liberian Dollar (LRD),157.6
Libya,Northern Africa,6778,3.9,Tripoli,1160.9,14-Dec-55,1676198,102,Libyan Dinar (LYD),1.4
Liechtenstein,Western Europe,38,237.6,Vaduz,5.5,18-Sep-90,160,98.4,Swiss Franc (CHF),1
Lithuania,Northern Europe,2760,44,Vilnius,537.6,17-Sep-91,65286,86.1,Euro (EUR),0.9
Luxembourg,Western Europe,616,237.7,Luxembourg,119.8,24-Oct-45,2586,102.1,Euro (EUR),0.9
Madagascar,Eastern Africa,26969,46.4,Antananarivo,3210.4,20-Sep-60,587295,99.5,Malagasy Ariary (MGA),3470.2
Malawi,Eastern Africa,18629,197.6,Lilongwe,1074.7,1-Dec-64,118484,97.3,Malawi Kwacha (MWK),733.7
Malaysia,South-eastern Asia,31950,97.2,Kuala Lumpur,7780.3,17-Sep-57,330323,105.8,Malaysian Ringgit (MYR),4.1
Maldives,Southern Asia,531,1769.8,Male,176.9,21-Sep-65,300,172.4,Rufiyaa (MVR),15.4
Mali,Western Africa,19658,16.1,Bamako,2529.3,28-Sep-60,1240192,100.3,"CFA Franc, BCEAO (XOF)",572.9
Malta,Southern Europe,440,1376.2,Valletta,212.8,1-Dec-64,315,100.5,Euro (EUR),0.9
Marshall Islands,Micronesia,59,326.6,Majuro,30.7,17-Sep-91,181,104.5,US Dollar (USD),
Martinique,Caribbean,376,354.3,Fort-de-France,79.4,,1128,85.4,Euro (EUR),0.9
Mauritania,Western Africa,4526,4.4,Nouakchott,1259.0,27-Oct-61,1030700,100.8,Ouguiya (MRU),36.4
